Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,last_purchase_post,days_until_next_purchase,churned
12374.0,390,3,2246.29,2,3,4,9,Mid Value - Stable,2011-11-14 15:37:00,5.0,0
12375.0,67,1,230.3,3,1,1,5,Low Value - Likely Churn,2011-12-07 11:27:00,27.0,0
12376.0,359,2,503.15,2,2,2,6,Low Value - Likely Churn,,,1
12377.0,284,4,3426.32,2,3,5,10,Mid Value - Stable,,,1
12378.0,99,2,5416.32,3,2,5,10,Mid Value - Stable,,,1
12379.0,51,5,1618.27,4,3,4,11,Mid Value - Stable,,,1
12380.0,15,14,6847.61,5,5,5,15,High Value - Loyal,2011-11-18 11:27:00,8.0,0
12381.0,2,5,1656.95,5,3,4,12,Mid Value - Stable,2011-12-05 12:44:00,25.0,0
12382.0,651,1,-18.38,1,1,1,3,Low Value - Likely Churn,,,1
12383.0,154,6,1839.31,3,4,4,11,Mid Value - Stable,,,1
12384.0,49,2,273.58000000000004,4,2,2,8,New / Low Engagement,2011-11-11 08:39:00,1.0,0
12385.0,348,2,1923.4,2,2,4,8,Mid Value - Stable,,,1
12386.0,307,2,660.8,2,2,3,7,Mid Value - Stable,,,1
12387.0,384,1,143.94,2,1,1,4,Low Value - Likely Churn,,,1
12388.0,45,7,3614.71,4,4,5,13,High Value - Loyal,2011-11-24 12:30:00,14.0,0
12389.0,372,3,1433.33,2,3,4,9,Mid Value - Stable,,,1
12390.0,49,1,549.84,4,1,2,7,New / Low Engagement,,,1
12391.0,434,6,2286.93,1,4,4,9,High Value - At Risk,2011-11-18 12:07:00,8.0,0
12392.0,560,1,234.75000000000003,1,1,1,3,Low Value - Likely Churn,,,1
12393.0,41,7,2376.75,4,4,4,12,Mid Value - Stable,,,1
12394.0,33,2,1272.48,4,2,4,10,New / Low Engagement,,,1
12395.0,0,16,4783.64,5,5,5,15,High Value - Loyal,2011-11-24 12:20:00,14.0,0
12396.0,643,1,931.43,1,1,3,5,Low Value - Likely Churn,,,1
12397.0,5,2,2409.9,5,2,4,11,New / Low Engagement,,,1
12398.0,15,1,1635.66,5,1,4,10,New / Low Engagement,,,1
12399.0,88,7,1962.3,3,4,4,11,Mid Value - Stable,,,1
12400.0,383,1,205.25,2,1,1,4,Low Value - Likely Churn,,,1
12401.0,272,1,84.3,2,1,1,4,Low Value - Likely Churn,,,1
12402.0,292,7,1244.15,2,4,4,10,High Value - At Risk,,,1
12403.0,19,3,1001.36,5,3,3,11,Mid Value - Stable,,,1
12404.0,651,1,63.24,1,1,1,3,Low Value - Likely Churn,,,1
12405.0,118,1,1710.39,3,1,4,8,Mid Value - Stable,,,1
12406.0,92,6,4278.16,3,4,5,12,Mid Value - Stable,2011-11-17 19:22:00,8.0,0
12407.0,19,5,1708.12,5,3,4,12,Mid Value - Stable,,,1
12408.0,2,14,4279.64,5,5,5,15,High Value - Loyal,,,1
12409.0,48,13,23090.47,4,5,5,14,High Value - Loyal,,,1
12410.0,270,4,1001.46,2,3,3,8,Mid Value - Stable,,,1
12411.0,379,1,346.9,2,1,2,5,Low Value - Likely Churn,,,1
12412.0,44,8,2581.03,4,4,4,12,Mid Value - Stable,,,1
12413.0,36,6,935.5,4,4,3,11,Mid Value - Stable,,,1
12414.0,186,8,692.41,3,4,3,10,Mid Value - Stable,,,1
12415.0,5,31,137913.88999999998,5,5,5,15,High Value - Loyal,2011-11-15 14:22:00,6.0,0
12416.0,626,1,202.56,1,1,1,3,Low Value - Likely Churn,,,1
12417.0,8,25,6358.43,5,5,5,15,High Value - Loyal,2011-12-06 14:52:00,27.0,0
12418.0,82,5,2016.95,3,3,4,10,Mid Value - Stable,,,1
12419.0,355,2,503.01,2,2,2,6,Low Value - Likely Churn,,,1
12420.0,33,1,600.39,4,1,3,8,New / Low Engagement,,,1
12421.0,84,7,914.35,3,4,3,10,Mid Value - Stable,2011-11-24 09:07:00,14.0,0
12422.0,65,21,4119.35,3,5,5,13,High Value - Loyal,,,1
12423.0,68,10,2403.55,3,5,4,12,Mid Value - Stable,2011-12-09 10:10:00,29.0,0
12424.0,132,7,3289.78,3,4,5,12,Mid Value - Stable,,,1
12425.0,47,3,1680.81,4,3,4,11,Mid Value - Stable,,,1
12426.0,164,3,1311.41,3,3,4,10,Mid Value - Stable,,,1
12427.0,29,3,832.63,4,3,3,10,Mid Value - Stable,2011-11-28 10:48:00,18.0,0
12428.0,78,11,7468.860000000001,3,5,5,13,High Value - Loyal,2011-11-14 08:22:00,4.0,0
12429.0,142,8,6529.99,3,4,5,12,Mid Value - Stable,2011-11-30 17:22:00,21.0,0
12430.0,12,1,256.4,5,1,2,8,New / Low Engagement,,,1
12431.0,5,33,10719.41,5,5,5,15,High Value - Loyal,,,1
12432.0,12,5,5059.32,5,3,5,13,High Value - Loyal,,,1
12433.0,12,8,14946.88,5,4,5,14,High Value - Loyal,2011-12-09 10:02:00,29.0,0
12434.0,54,5,1062.48,4,3,3,10,Mid Value - Stable,,,1
12435.0,49,6,13925.93,4,4,5,13,High Value - Loyal,,,1
12436.0,69,1,509.01,3,1,2,6,Low Value - Likely Churn,,,1
12437.0,5,44,11737.94,5,5,5,15,High Value - Loyal,2011-12-08 11:35:00,28.0,0
12438.0,109,1,890.0699999999999,3,1,3,7,Mid Value - Stable,2011-11-25 13:28:00,16.0,0
12439.0,652,3,1104.48,1,3,3,7,Mid Value - Stable,,,1
12440.0,426,3,768.15,1,3,3,7,Mid Value - Stable,,,1
12441.0,336,1,347.1,2,1,2,5,Low Value - Likely Churn,,,1
12443.0,701,1,485.31,1,1,2,4,Low Value - Likely Churn,,,1
12444.0,28,4,4068.82,4,3,5,12,Mid Value - Stable,2011-11-18 13:23:00,9.0,0
12445.0,369,2,293.08000000000004,2,2,2,6,Low Value - Likely Churn,2011-11-17 18:43:00,8.0,0
12446.0,27,1,1002.31,4,1,3,8,New / Low Engagement,,,1
12447.0,212,1,476.49,3,1,2,6,Low Value - Likely Churn,,,1
12448.0,13,1,449.45,5,1,2,8,New / Low Engagement,,,1
12449.0,61,5,3493.18,4,3,5,12,Mid Value - Stable,2011-11-17 13:46:00,8.0,0
12450.0,125,7,666.95,3,4,3,10,Mid Value - Stable,,,1
12451.0,34,8,11358.39,4,4,5,13,High Value - Loyal,2011-11-29 08:40:00,19.0,0
12453.0,103,1,707.09,3,1,3,7,Mid Value - Stable,,,1
12454.0,22,9,4292.71,4,4,5,13,High Value - Loyal,,,1
12455.0,42,10,5879.95,4,5,5,14,High Value - Loyal,,,1
12456.0,13,4,3153.89,5,3,5,13,High Value - Loyal,,,1
12457.0,27,14,2472.31,4,5,4,13,High Value - Loyal,,,1
12458.0,40,4,1777.49,4,3,4,11,Mid Value - Stable,,,1
12459.0,574,1,454.36,1,1,2,4,Low Value - Likely Churn,,,1
12460.0,425,1,326.65,1,1,2,4,Low Value - Likely Churn,,,1
12461.0,63,2,826.88,4,2,3,9,New / Low Engagement,,,1
12462.0,264,2,741.3100000000001,2,2,3,7,Mid Value - Stable,2011-12-07 14:02:00,28.0,0
12463.0,15,7,1303.63,5,4,4,13,High Value - Loyal,,,1
12464.0,75,6,780.55,3,4,3,10,Mid Value - Stable,2011-11-29 13:33:00,20.0,0
12465.0,138,1,440.94,3,1,2,6,Low Value - Likely Churn,2011-12-02 11:34:00,22.0,0
12466.0,651,1,56.73,1,1,1,3,Low Value - Likely Churn,,,1
12467.0,355,2,0.0,2,2,1,5,Low Value - Likely Churn,,,1
12468.0,112,10,3624.55,3,5,5,13,High Value - Loyal,,,1
12469.0,492,2,3070.54,1,2,5,8,Mid Value - Stable,,,1
12470.0,659,1,211.95,1,1,1,3,Low Value - Likely Churn,,,1
12471.0,0,122,33052.42,5,5,5,15,High Value - Loyal,2011-12-07 15:43:00,28.0,0
12472.0,0,37,16956.69,5,5,5,15,High Value - Loyal,,,1
12473.0,23,5,2807.77,4,3,5,12,Mid Value - Stable,2011-11-10 13:48:00,1.0,0
12474.0,6,51,10798.77,5,5,5,15,High Value - Loyal,2011-11-22 14:39:00,13.0,0
12475.0,23,2,1149.64,4,2,4,10,New / Low Engagement,,,1
12476.0,15,34,11859.98,5,5,5,15,High Value - Loyal,2011-12-08 14:08:00,29.0,0
12477.0,25,11,18135.95,4,5,5,14,High Value - Loyal,2011-11-17 09:51:00,7.0,0
12480.0,112,7,4298.42,3,4,5,12,Mid Value - Stable,2011-11-11 14:52:00,2.0,0
12481.0,35,17,12030.23,4,5,5,14,High Value - Loyal,2011-11-17 08:29:00,7.0,0
12482.0,419,32,21893.53,1,5,5,11,High Value - At Risk,,,1
12483.0,0,25,4520.150000000001,5,5,5,15,High Value - Loyal,2011-11-22 17:03:00,13.0,0
12484.0,2,16,6303.85,5,5,5,15,High Value - Loyal,,,1
12485.0,498,1,708.1,1,1,3,5,Low Value - Likely Churn,,,1
12486.0,401,1,1037.28,1,1,3,5,Low Value - Likely Churn,,,1
12487.0,700,2,259.79999999999995,1,2,2,5,Low Value - Likely Churn,,,1
12488.0,9,2,767.45,5,2,3,10,New / Low Engagement,2011-11-30 08:50:00,20.0,0
12489.0,305,1,334.93,2,1,2,5,Low Value - Likely Churn,,,1
12490.0,6,19,8586.74,5,5,5,15,High Value - Loyal,2011-12-04 16:07:00,25.0,0
12491.0,8,1,460.4,5,1,2,8,New / Low Engagement,,,1
12492.0,32,3,715.21,4,3,3,10,Mid Value - Stable,,,1
12493.0,135,3,416.79,3,3,2,8,Mid Value - Stable,,,1
12494.0,9,15,1638.82,5,5,4,14,High Value - Loyal,2011-11-30 09:21:00,20.0,0
12495.0,604,2,323.4,1,2,2,5,Low Value - Likely Churn,,,1
12496.0,589,2,54.09,1,2,1,4,Low Value - Likely Churn,,,1
12497.0,51,4,6211.75,4,3,5,12,Mid Value - Stable,,,1
12498.0,27,1,247.25,4,1,1,6,New / Low Engagement,2011-11-18 12:53:00,9.0,0
12499.0,529,1,393.72,1,1,2,4,Low Value - Likely Churn,,,1
12500.0,5,24,5255.27,5,5,5,15,High Value - Loyal,2011-11-16 16:20:00,7.0,0
12501.0,284,2,2089.68,2,2,4,8,Mid Value - Stable,,,1
12502.0,65,5,3723.87,3,3,5,11,Mid Value - Stable,,,1
12503.0,307,2,0.0,2,2,1,5,Low Value - Likely Churn,,,1
12504.0,386,2,297.0,2,2,2,6,Low Value - Likely Churn,2011-11-21 16:02:00,12.0,0
12505.0,270,3,908.0,2,3,3,8,Mid Value - Stable,,,1
12506.0,202,1,73.5,3,1,1,5,Low Value - Likely Churn,,,1
12507.0,103,5,1797.31,3,3,4,10,Mid Value - Stable,,,1
12509.0,253,1,176.5,2,1,1,4,Low Value - Likely Churn,,,1
12510.0,112,16,3689.33,3,5,5,13,High Value - Loyal,,,1
12511.0,384,2,3065.77,2,2,5,9,Mid Value - Stable,,,1
12512.0,35,2,138.03,4,2,1,7,New / Low Engagement,,,1
12513.0,54,2,586.79,4,2,3,9,New / Low Engagement,,,1
12514.0,236,2,1597.76,2,2,4,8,Mid Value - Stable,,,1
12515.0,322,1,383.7,2,1,2,5,Low Value - Likely Churn,,,1
12516.0,47,4,2648.62,4,3,4,11,Mid Value - Stable,,,1
12517.0,43,3,1955.9,4,3,4,11,Mid Value - Stable,2011-11-11 14:04:00,2.0,0
12518.0,28,3,1230.79,4,3,4,11,Mid Value - Stable,2011-12-09 10:13:00,29.0,0
12519.0,33,3,695.19,4,3,3,10,Mid Value - Stable,,,1
12520.0,48,6,2582.51,4,4,4,12,Mid Value - Stable,,,1
12521.0,112,1,599.68,3,1,3,7,Mid Value - Stable,,,1
12522.0,8,2,192.72,5,2,1,8,New / Low Engagement,,,1
12523.0,8,28,3977.63,5,5,5,15,High Value - Loyal,2011-12-08 11:46:00,28.0,0
12524.0,33,17,10783.56,4,5,5,14,High Value - Loyal,2011-11-30 15:31:00,21.0,0
12525.0,460,8,835.1800000000001,1,4,3,8,High Value - At Risk,,,1
12526.0,23,2,1039.58,4,2,3,9,New / Low Engagement,2011-12-09 12:09:00,29.0,0
12527.0,51,5,735.51,4,3,3,10,Mid Value - Stable,,,1
12528.0,33,7,1550.68,4,4,4,12,Mid Value - Stable,2011-11-30 14:40:00,21.0,0
12529.0,492,2,311.78000000000003,1,2,2,5,Low Value - Likely Churn,,,1
12530.0,29,12,3689.86,4,5,5,14,High Value - Loyal,,,1
12531.0,650,2,1773.83,1,2,4,7,Mid Value - Stable,2011-11-25 11:12:00,15.0,0
12533.0,588,6,1149.99,1,4,4,9,High Value - At Risk,,,1
12534.0,100,1,1089.18,3,1,3,7,Mid Value - Stable,,,1
12535.0,61,2,716.35,4,2,3,9,New / Low Engagement,,,1
12536.0,12,4,4279.71,5,3,5,13,High Value - Loyal,2011-12-02 12:43:00,22.0,0
12537.0,378,1,732.94,2,1,3,6,Low Value - Likely Churn,,,1
12538.0,347,1,276.5,2,1,2,5,Low Value - Likely Churn,2011-11-10 17:16:00,1.0,0
12539.0,231,7,8448.24,2,4,5,11,High Value - At Risk,2011-11-17 13:30:00,8.0,0
12540.0,0,35,21219.02,5,5,5,15,High Value - Loyal,2011-11-20 11:31:00,10.0,0
12541.0,142,2,536.14,3,2,2,7,Mid Value - Stable,2011-11-10 10:40:00,0.0,0
12542.0,453,4,423.38,1,3,2,6,Low Value - Likely Churn,,,1
12543.0,417,1,980.25,1,1,3,5,Low Value - Likely Churn,,,1
12544.0,5,1,372.7,5,1,2,8,New / Low Engagement,2011-11-10 11:12:00,0.0,0
12545.0,44,2,1000.39,4,2,3,9,New / Low Engagement,,,1
12546.0,16,3,1141.5,5,3,4,12,Mid Value - Stable,,,1
12547.0,167,3,383.58,3,3,2,8,Mid Value - Stable,,,1
12548.0,135,1,95.2,3,1,1,5,Low Value - Likely Churn,,,1
12549.0,545,6,1575.68,1,4,4,9,High Value - At Risk,,,1
12550.0,48,1,964.83,4,1,3,8,New / Low Engagement,,,1
12551.0,327,1,168.0,2,1,1,4,Low Value - Likely Churn,,,1
12552.0,8,2,437.82,5,2,2,9,New / Low Engagement,,,1
12553.0,27,14,3757.41,4,5,5,14,High Value - Loyal,2011-12-01 16:38:00,22.0,0
12554.0,418,1,468.5,1,1,2,4,Low Value - Likely Churn,,,1
12555.0,651,1,129.23,1,1,1,3,Low Value - Likely Churn,,,1
12556.0,19,2,603.71,5,2,3,10,New / Low Engagement,,,1
12557.0,127,7,15726.14,3,4,5,12,Mid Value - Stable,2011-11-23 16:59:00,14.0,0
12559.0,280,3,536.21,2,3,2,7,Mid Value - Stable,,,1
12560.0,70,3,1403.69,3,3,4,10,Mid Value - Stable,2011-12-04 13:54:00,25.0,0
12561.0,272,1,238.85,2,1,1,4,Low Value - Likely Churn,,,1
12562.0,25,7,3692.65,4,4,5,13,High Value - Loyal,2011-12-01 17:20:00,22.0,0
12563.0,378,1,249.24,2,1,1,4,Low Value - Likely Churn,,,1
12564.0,230,1,456.9,2,1,2,5,Low Value - Likely Churn,,,1
12565.0,251,2,131.17,2,2,1,5,Low Value - Likely Churn,,,1
12566.0,42,2,346.7,4,2,2,8,New / Low Engagement,,,1
12567.0,65,16,11842.52,3,5,5,13,High Value - Loyal,2011-11-17 11:02:00,7.0,0
12568.0,614,1,70.0,1,1,1,3,Low Value - Likely Churn,,,1
12569.0,5,24,2924.95,5,5,5,15,High Value - Loyal,2011-12-07 16:24:00,28.0,0
12570.0,651,1,77.52,1,1,1,3,Low Value - Likely Churn,,,1
12571.0,9,2,519.61,5,2,2,9,New / Low Engagement,,,1
12572.0,17,2,517.04,5,2,2,9,New / Low Engagement,2011-12-01 09:20:00,21.0,0
12573.0,196,5,717.41,3,3,3,9,Mid Value - Stable,,,1
12574.0,285,1,218.45,2,1,1,4,Low Value - Likely Churn,,,1
12575.0,426,2,622.8199999999999,1,2,3,6,Low Value - Likely Churn,,,1
12576.0,5,11,2083.87,5,5,4,14,High Value - Loyal,,,1
12577.0,4,9,1591.35,5,4,4,13,High Value - Loyal,,,1
12578.0,286,6,3386.6,2,4,5,11,High Value - At Risk,2011-11-18 13:30:00,9.0,0
12579.0,42,3,410.72,4,3,2,9,Mid Value - Stable,,,1
12580.0,216,2,1052.9,2,2,3,7,Mid Value - Stable,,,1
12581.0,9,1,197.71,5,1,1,7,New / Low Engagement,,,1
12582.0,208,4,1980.4,3,3,4,10,Mid Value - Stable,,,1
12583.0,1,29,13252.41,5,5,5,15,High Value - Loyal,2011-12-07 08:07:00,27.0,0
12584.0,9,13,1550.25,5,5,4,14,High Value - Loyal,2011-12-06 09:35:00,26.0,0
12585.0,203,4,1982.81,3,3,4,10,Mid Value - Stable,,,1
12586.0,338,4,1831.73,2,3,4,9,Mid Value - Stable,2011-11-22 16:24:00,13.0,0
12588.0,8,5,938.98,5,3,3,11,Mid Value - Stable,,,1
12589.0,114,10,2578.99,3,5,4,12,Mid Value - Stable,2011-11-11 10:19:00,1.0,0
12590.0,159,5,9853.48,3,3,5,11,Mid Value - Stable,,,1
12591.0,286,3,1352.15,2,3,4,9,Mid Value - Stable,,,1
12592.0,61,8,1152.62,4,4,4,12,Mid Value - Stable,,,1
12593.0,78,3,418.1,3,3,2,8,Mid Value - Stable,,,1
12594.0,7,17,5044.51,5,5,5,15,High Value - Loyal,,,1
12595.0,474,1,299.02,1,1,2,4,Low Value - Likely Churn,,,1
12596.0,20,2,618.27,5,2,3,10,New / Low Engagement,,,1
12597.0,1,4,3477.17,5,3,5,13,High Value - Loyal,2011-11-20 13:33:00,11.0,0
12598.0,40,12,3337.73,4,5,5,14,High Value - Loyal,2011-11-30 12:18:00,20.0,0
12599.0,96,12,2121.18,3,5,4,12,Mid Value - Stable,2011-11-10 13:34:00,1.0,0
12600.0,53,25,4576.21,4,5,5,14,High Value - Loyal,2011-11-11 10:29:00,1.0,0
12601.0,159,7,673.76,3,4,3,10,Mid Value - Stable,,,1
12602.0,28,1,153.12,4,1,1,6,New / Low Engagement,,,1
12604.0,48,2,254.18,4,2,2,8,New / Low Engagement,,,1
12605.0,334,5,1217.95,2,3,4,9,Mid Value - Stable,,,1
12606.0,651,1,21.0,1,1,1,3,Low Value - Likely Churn,,,1
12607.0,27,2,3.552713678800501e-15,4,2,1,7,New / Low Engagement,,,1
12608.0,374,1,415.79,2,1,2,5,Low Value - Likely Churn,,,1
12609.0,47,10,3417.86,4,5,5,14,High Value - Loyal,,,1
12610.0,13,5,1839.79,5,3,4,12,Mid Value - Stable,2011-11-17 09:34:00,7.0,0
12611.0,21,1,1193.32,4,1,4,9,New / Low Engagement,,,1
12612.0,27,2,643.59,4,2,3,9,New / Low Engagement,,,1
12613.0,0,13,6591.52,5,5,5,15,High Value - Loyal,,,1
12614.0,247,1,315.6,2,1,2,5,Low Value - Likely Churn,,,1
12615.0,6,10,5142.03,5,5,5,15,High Value - Loyal,2011-12-07 15:02:00,28.0,0
12616.0,54,7,1045.35,4,4,3,11,Mid Value - Stable,,,1
12619.0,3,12,2989.25,5,5,5,15,High Value - Loyal,2011-11-23 14:52:00,14.0,0
12620.0,50,2,939.32,4,2,3,9,New / Low Engagement,2011-11-25 10:20:00,15.0,0
12621.0,22,42,22780.83,4,5,5,14,High Value - Loyal,2011-12-08 11:25:00,28.0,0
12622.0,201,1,180.1,3,1,1,5,Low Value - Likely Churn,,,1
12623.0,245,9,3639.84,2,4,5,11,High Value - At Risk,,,1
12624.0,75,2,641.13,3,2,3,8,Mid Value - Stable,,,1
12625.0,181,5,5095.38,3,4,5,12,Mid Value - Stable,,,1
12626.0,12,12,6136.38,5,5,5,15,High Value - Loyal,2011-11-16 16:06:00,7.0,0
12627.0,33,6,3911.55,4,4,5,13,High Value - Loyal,2011-11-29 12:07:00,19.0,0
12628.0,2,2,571.21,5,2,3,10,New / Low Engagement,2011-12-05 13:15:00,26.0,0
12629.0,355,2,1558.22,2,2,4,8,Mid Value - Stable,,,1
12630.0,13,1,701.79,5,1,3,9,New / Low Engagement,2011-11-30 10:48:00,20.0,0
12631.0,26,7,3452.27,4,4,5,13,High Value - Loyal,,,1
12632.0,490,4,738.88,1,3,3,7,Mid Value - Stable,,,1
12633.0,28,10,5595.21,4,5,5,14,High Value - Loyal,,,1
12634.0,505,2,490.0,1,2,2,5,Low Value - Likely Churn,,,1
12635.0,59,4,2930.41,4,3,5,12,Mid Value - Stable,,,1
12636.0,708,1,141.0,1,1,1,3,Low Value - Likely Churn,,,1
12637.0,36,14,8271.66,4,5,5,14,High Value - Loyal,,,1
12638.0,2,2,921.49,5,2,3,10,New / Low Engagement,,,1
12639.0,208,3,1312.37,3,3,4,10,Mid Value - Stable,,,1
12640.0,51,1,764.59,4,1,3,8,New / Low Engagement,2011-11-16 11:52:00,6.0,0
12641.0,84,1,185.9,3,1,1,5,Low Value - Likely Churn,,,1
12642.0,20,2,658.41,5,2,3,10,New / Low Engagement,2011-11-14 15:03:00,5.0,0
12643.0,97,14,7880.9,3,5,5,13,High Value - Loyal,,,1
12644.0,99,6,1815.54,3,4,4,11,Mid Value - Stable,,,1
12645.0,3,10,3499.1,5,5,5,15,High Value - Loyal,,,1
12646.0,18,1,731.6899999999999,5,1,3,9,New / Low Engagement,2011-12-05 10:14:00,25.0,0
12647.0,47,44,17361.64,4,5,5,14,High Value - Loyal,2011-11-17 12:56:00,8.0,0
12648.0,124,5,1097.0,3,4,3,10,Mid Value - Stable,,,1
12649.0,76,10,2238.7,3,5,4,12,Mid Value - Stable,,,1
12651.0,304,5,365.3,2,4,2,8,High Value - At Risk,,,1
12652.0,291,3,1011.58,2,3,3,8,Mid Value - Stable,,,1
12653.0,118,3,4160.83,3,3,5,11,Mid Value - Stable,,,1
12654.0,6,4,508.98,5,3,2,10,Mid Value - Stable,2011-11-29 10:10:00,19.0,0
12655.0,393,1,261.35,1,1,2,4,Low Value - Likely Churn,,,1
12656.0,1,11,5735.03,5,5,5,15,High Value - Loyal,2011-11-22 13:42:00,13.0,0
12657.0,11,2,660.94,5,2,3,10,New / Low Engagement,2011-11-28 15:47:00,19.0,0
12661.0,405,1,162.0,1,1,1,3,Low Value - Likely Churn,,,1
12662.0,22,19,6274.67,4,5,5,14,High Value - Loyal,2011-12-09 11:59:00,29.0,0
12663.0,594,3,204.0,1,3,1,5,Low Value - Likely Churn,,,1
12664.0,5,10,4852.04,5,5,5,15,High Value - Loyal,2011-12-01 17:07:00,22.0,0
12665.0,294,5,301.45,2,4,2,8,High Value - At Risk,,,1
12666.0,328,2,1020.98,2,2,3,7,Mid Value - Stable,,,1
12667.0,27,1,620.13,4,1,3,8,New / Low Engagement,,,1
12668.0,218,10,10527.2,2,5,5,12,High Value - At Risk,2011-12-02 15:10:00,23.0,0
12669.0,120,4,1607.73,3,3,4,10,Mid Value - Stable,,,1
12670.0,68,5,2398.71,3,4,4,11,Mid Value - Stable,2011-11-29 15:23:00,20.0,0
12671.0,575,1,2622.481,1,1,4,6,Low Value - Likely Churn,,,1
12672.0,299,3,410.5,2,3,2,7,Mid Value - Stable,,,1
12673.0,296,2,840.4,2,2,3,7,Mid Value - Stable,2011-12-04 13:55:00,25.0,0
12674.0,6,6,1922.26,5,4,4,13,High Value - Loyal,2011-11-28 12:22:00,18.0,0
12675.0,523,4,934.8,1,3,3,7,Mid Value - Stable,,,1
12676.0,40,11,2591.43,4,5,4,13,High Value - Loyal,2011-11-15 12:25:00,5.0,0
12677.0,524,3,389.3,1,3,2,6,Low Value - Likely Churn,,,1
12678.0,11,23,33851.13,5,5,5,15,High Value - Loyal,,,1
12679.0,21,9,1058.67,4,4,3,11,Mid Value - Stable,,,1
12680.0,42,3,613.36,4,3,3,10,Mid Value - Stable,2011-12-09 12:50:00,30.0,0
12681.0,0,52,28806.44,5,5,5,15,High Value - Loyal,2011-11-25 11:35:00,15.0,0
12682.0,7,47,21709.19,5,5,5,15,High Value - Loyal,2011-12-06 10:00:00,26.0,0
12683.0,5,25,11621.12,5,5,5,15,High Value - Loyal,2011-12-05 16:31:00,26.0,0
12684.0,33,5,1627.24,4,4,4,12,Mid Value - Stable,2011-12-02 09:53:00,22.0,0
12685.0,20,5,2449.96,5,4,4,13,High Value - Loyal,2011-11-11 13:46:00,2.0,0
12686.0,341,1,178.28,2,1,1,4,Low Value - Likely Churn,,,1
12687.0,450,2,2138.91,1,2,4,7,Mid Value - Stable,,,1
12688.0,83,1,4873.81,3,1,5,9,Mid Value - Stable,,,1
12689.0,97,1,511.03,3,1,2,6,Low Value - Likely Churn,2011-11-14 08:31:00,4.0,0
12690.0,175,1,389.01,3,1,2,6,Low Value - Likely Churn,,,1
12691.0,27,6,994.0,4,4,3,11,Mid Value - Stable,2011-11-11 16:49:00,2.0,0
12692.0,606,1,110.95,1,1,1,3,Low Value - Likely Churn,,,1
12693.0,90,11,1640.42,3,5,4,12,Mid Value - Stable,,,1
12694.0,39,4,1839.45,4,3,4,11,Mid Value - Stable,,,1
12695.0,35,6,1322.02,4,4,4,12,Mid Value - Stable,2011-12-02 13:22:00,23.0,0
12696.0,404,3,801.15,1,3,3,7,Mid Value - Stable,,,1
12697.0,83,3,724.01,3,3,3,9,Mid Value - Stable,2011-11-18 16:17:00,9.0,0
12698.0,559,1,339.75,1,1,2,4,Low Value - Likely Churn,,,1
12699.0,387,1,638.11,2,1,3,6,Low Value - Likely Churn,,,1
12700.0,35,4,3589.24,4,3,5,12,Mid Value - Stable,2011-12-02 10:49:00,22.0,0
12701.0,49,6,2446.41,4,4,4,12,Mid Value - Stable,,,1
12703.0,33,7,892.18,4,4,3,11,Mid Value - Stable,,,1
