Customer ID,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
12567.0,65,16,11842.52,3,5,5,13,High Value - Loyal
12568.0,614,1,70.0,1,1,1,3,Low Value - Likely Churn
12569.0,5,24,2924.95,5,5,5,15,High Value - Loyal
12570.0,651,1,77.52,1,1,1,3,Low Value - Likely Churn
12571.0,9,2,519.61,5,2,2,9,New / Low Engagement
12572.0,17,2,517.04,5,2,2,9,New / Low Engagement
12573.0,196,5,717.41,3,3,3,9,Mid Value - Stable
12574.0,285,1,218.45,2,1,1,4,Low Value - Likely Churn
12575.0,426,2,622.8199999999999,1,2,3,6,Low Value - Likely Churn
12576.0,5,11,2083.87,5,5,4,14,High Value - Loyal
12577.0,4,9,1591.35,5,4,4,13,High Value - Loyal
12578.0,286,6,3386.6,2,4,5,11,High Value - At Risk
12579.0,42,3,410.72,4,3,2,9,Mid Value - Stable
12580.0,216,2,1052.9,2,2,3,7,Mid Value - Stable
12581.0,9,1,197.71,5,1,1,7,New / Low Engagement
12582.0,208,4,1980.4,3,3,4,10,Mid Value - Stable
12583.0,1,29,13252.41,5,5,5,15,High Value - Loyal
12584.0,9,13,1550.25,5,5,4,14,High Value - Loyal
12585.0,203,4,1982.81,3,3,4,10,Mid Value - Stable
12586.0,338,4,1831.73,2,3,4,9,Mid Value - Stable
12588.0,8,5,938.98,5,3,3,11,Mid Value - Stable
12589.0,114,10,2578.99,3,5,4,12,Mid Value - Stable
12590.0,159,5,9853.48,3,3,5,11,Mid Value - Stable
12591.0,286,3,1352.15,2,3,4,9,Mid Value - Stable
12592.0,61,8,1152.62,4,4,4,12,Mid Value - Stable
12593.0,78,3,418.09999999999997,3,3,2,8,Mid Value - Stable
12594.0,7,17,5044.51,5,5,5,15,High Value - Loyal
12595.0,474,1,299.02,1,1,2,4,Low Value - Likely Churn
12596.0,20,2,618.27,5,2,3,10,New / Low Engagement
12597.0,1,4,3477.17,5,3,5,13,High Value - Loyal
12598.0,40,12,3337.73,4,5,5,14,High Value - Loyal
12599.0,96,12,2121.18,3,5,4,12,Mid Value - Stable
12600.0,53,25,4576.21,4,5,5,14,High Value - Loyal
12601.0,159,7,673.76,3,4,3,10,Mid Value - Stable
12602.0,28,1,153.12,4,1,1,6,New / Low Engagement
12604.0,48,2,254.18,4,2,2,8,New / Low Engagement
12605.0,334,5,1217.95,2,3,4,9,Mid Value - Stable
12606.0,651,1,21.0,1,1,1,3,Low Value - Likely Churn
12607.0,27,2,3.552713678800501e-15,4,2,1,7,New / Low Engagement
12608.0,374,1,415.79,2,1,2,5,Low Value - Likely Churn
12609.0,47,10,3417.86,4,5,5,14,High Value - Loyal
12610.0,13,5,1839.79,5,3,4,12,Mid Value - Stable
12611.0,21,1,1193.32,4,1,4,9,New / Low Engagement
12612.0,27,2,643.59,4,2,3,9,New / Low Engagement
12613.0,0,13,6591.52,5,5,5,15,High Value - Loyal
12614.0,247,1,315.6,2,1,2,5,Low Value - Likely Churn
12615.0,6,10,5142.03,5,5,5,15,High Value - Loyal
12616.0,54,7,1045.35,4,4,3,11,Mid Value - Stable
12619.0,3,12,2989.25,5,5,5,15,High Value - Loyal
12620.0,50,2,939.3199999999999,4,2,3,9,New / Low Engagement
12621.0,22,42,22780.83,4,5,5,14,High Value - Loyal
12622.0,201,1,180.1,3,1,1,5,Low Value - Likely Churn
12623.0,245,9,3639.84,2,4,5,11,High Value - At Risk
12624.0,75,2,641.13,3,2,3,8,Mid Value - Stable
12625.0,181,5,5095.38,3,4,5,12,Mid Value - Stable
12626.0,12,12,6136.38,5,5,5,15,High Value - Loyal
12627.0,33,6,3911.55,4,4,5,13,High Value - Loyal
12628.0,2,2,571.21,5,2,3,10,New / Low Engagement
12629.0,355,2,1558.22,2,2,4,8,Mid Value - Stable
12630.0,13,1,701.79,5,1,3,9,New / Low Engagement
12631.0,26,7,3452.27,4,4,5,13,High Value - Loyal
12632.0,490,4,738.88,1,3,3,7,Mid Value - Stable
12633.0,28,10,5595.21,4,5,5,14,High Value - Loyal
12634.0,505,2,490.0,1,2,2,5,Low Value - Likely Churn
12635.0,59,4,2930.41,4,3,5,12,Mid Value - Stable
12636.0,708,1,141.0,1,1,1,3,Low Value - Likely Churn
12637.0,36,14,8271.66,4,5,5,14,High Value - Loyal
12638.0,2,2,921.49,5,2,3,10,New / Low Engagement
12639.0,208,3,1312.37,3,3,4,10,Mid Value - Stable
12640.0,51,1,764.59,4,1,3,8,New / Low Engagement
12641.0,84,1,185.9,3,1,1,5,Low Value - Likely Churn
12642.0,20,2,658.41,5,2,3,10,New / Low Engagement
12643.0,97,14,7880.9,3,5,5,13,High Value - Loyal
12644.0,99,6,1815.54,3,4,4,11,Mid Value - Stable
12645.0,3,10,3499.1,5,5,5,15,High Value - Loyal
12646.0,18,1,731.6899999999999,5,1,3,9,New / Low Engagement
12647.0,47,44,17361.64,4,5,5,14,High Value - Loyal
12648.0,124,5,1097.0,3,4,3,10,Mid Value - Stable
12649.0,76,10,2238.7,3,5,4,12,Mid Value - Stable
12651.0,304,5,365.3,2,4,2,8,High Value - At Risk
12652.0,291,3,1011.58,2,3,3,8,Mid Value - Stable
12653.0,118,3,4160.83,3,3,5,11,Mid Value - Stable
12654.0,6,4,508.98,5,3,2,10,Mid Value - Stable
12655.0,393,1,261.35,1,1,2,4,Low Value - Likely Churn
12656.0,1,11,5735.03,5,5,5,15,High Value - Loyal
12657.0,11,2,660.94,5,2,3,10,New / Low Engagement
12661.0,405,1,162.0,1,1,1,3,Low Value - Likely Churn
12662.0,22,19,6274.67,4,5,5,14,High Value - Loyal
12663.0,594,3,204.0,1,3,1,5,Low Value - Likely Churn
12664.0,5,10,4852.04,5,5,5,15,High Value - Loyal
12665.0,294,5,301.45,2,4,2,8,High Value - At Risk
12666.0,328,2,1020.98,2,2,3,7,Mid Value - Stable
12667.0,27,1,620.13,4,1,3,8,New / Low Engagement
12668.0,218,10,10527.2,2,5,5,12,High Value - At Risk
12669.0,120,4,1607.73,3,3,4,10,Mid Value - Stable
12670.0,68,5,2398.71,3,4,4,11,Mid Value - Stable
12671.0,575,1,2622.481,1,1,4,6,Low Value - Likely Churn
12672.0,299,3,410.5,2,3,2,7,Mid Value - Stable
12673.0,296,2,840.4,2,2,3,7,Mid Value - Stable
12674.0,6,6,1922.26,5,4,4,13,High Value - Loyal
12675.0,523,4,934.8,1,3,3,7,Mid Value - Stable
12676.0,40,11,2591.43,4,5,4,13,High Value - Loyal
12677.0,524,3,389.3,1,3,2,6,Low Value - Likely Churn
12678.0,11,23,33851.13,5,5,5,15,High Value - Loyal
12679.0,21,9,1058.67,4,4,3,11,Mid Value - Stable
12680.0,42,3,613.36,4,3,3,10,Mid Value - Stable
12681.0,0,52,28806.44,5,5,5,15,High Value - Loyal
12682.0,7,47,21709.19,5,5,5,15,High Value - Loyal
12683.0,5,25,11621.12,5,5,5,15,High Value - Loyal
12684.0,33,5,1627.24,4,4,4,12,Mid Value - Stable
12685.0,20,5,2449.96,5,4,4,13,High Value - Loyal
12686.0,341,1,178.28,2,1,1,4,Low Value - Likely Churn
12687.0,450,2,2138.91,1,2,4,7,Mid Value - Stable
12688.0,83,1,4873.8099999999995,3,1,5,9,Mid Value - Stable
12689.0,97,1,511.03,3,1,2,6,Low Value - Likely Churn
12690.0,175,1,389.01,3,1,2,6,Low Value - Likely Churn
12691.0,27,6,994.0,4,4,3,11,Mid Value - Stable
12692.0,606,1,110.95,1,1,1,3,Low Value - Likely Churn
12693.0,90,11,1640.42,3,5,4,12,Mid Value - Stable
12694.0,39,4,1839.45,4,3,4,11,Mid Value - Stable
12695.0,35,6,1322.02,4,4,4,12,Mid Value - Stable
12696.0,404,3,801.15,1,3,3,7,Mid Value - Stable
12697.0,83,3,724.01,3,3,3,9,Mid Value - Stable
12698.0,559,1,339.75,1,1,2,4,Low Value - Likely Churn
12699.0,387,1,638.11,2,1,3,6,Low Value - Likely Churn
12700.0,35,4,3589.24,4,3,5,12,Mid Value - Stable
12701.0,49,6,2446.41,4,4,4,12,Mid Value - Stable
12703.0,33,7,892.18,4,4,3,11,Mid Value - Stable
12704.0,5,6,1827.75,5,4,4,13,High Value - Loyal
12705.0,11,19,10659.3,5,5,5,15,High Value - Loyal
12706.0,651,1,-91.89,1,1,1,3,Low Value - Likely Churn
12707.0,261,1,603.42,2,1,3,6,Low Value - Likely Churn
12708.0,2,29,5085.16,5,5,5,15,High Value - Loyal
12709.0,12,53,29435.16,5,5,5,15,High Value - Loyal
12710.0,66,4,1130.57,3,3,4,10,Mid Value - Stable
12711.0,581,2,1339.05,1,2,4,7,Mid Value - Stable
12712.0,18,26,6772.01,5,5,5,15,High Value - Loyal
12714.0,76,11,12774.55,3,5,5,13,High Value - Loyal
12715.0,75,1,353.86,3,1,2,6,Low Value - Likely Churn
12716.0,102,1,677.9,3,1,3,7,Mid Value - Stable
12717.0,120,4,1258.91,3,3,4,10,Mid Value - Stable
12718.0,40,1,238.25,4,1,1,6,New / Low Engagement
12719.0,29,2,246.75,4,2,1,7,New / Low Engagement
12720.0,9,37,6820.31,5,5,5,15,High Value - Loyal
12721.0,1,10,3906.68,5,5,5,15,High Value - Loyal
12722.0,54,6,904.33,4,4,3,11,Mid Value - Stable
12723.0,34,2,299.40999999999997,4,2,2,8,New / Low Engagement
12724.0,51,6,2109.2799999999997,4,4,4,12,Mid Value - Stable
12725.0,340,4,2694.56,2,3,4,9,Mid Value - Stable
12726.0,55,10,3230.14,4,5,5,14,High Value - Loyal
12727.0,64,11,5003.53,3,5,5,13,High Value - Loyal
12728.0,40,5,1070.17,4,4,3,11,Mid Value - Stable
12729.0,83,1,453.01,3,1,2,6,Low Value - Likely Churn
12730.0,491,1,829.25,1,1,3,5,Low Value - Likely Churn
12731.0,20,18,24175.69,5,5,5,15,High Value - Loyal
12732.0,149,1,236.26000000000002,3,1,1,5,Low Value - Likely Churn
12733.0,203,6,2326.82,3,4,4,11,Mid Value - Stable
12734.0,322,3,639.65,2,3,3,8,Mid Value - Stable
12735.0,284,2,779.5699999999999,2,2,3,7,Mid Value - Stable
12736.0,302,1,234.0,2,1,1,4,Low Value - Likely Churn
12737.0,468,2,3710.5,1,2,5,8,Mid Value - Stable
12738.0,341,1,310.7,2,1,2,5,Low Value - Likely Churn
12739.0,47,4,2726.73,4,3,5,12,Mid Value - Stable
12740.0,33,1,427.6,4,1,2,7,New / Low Engagement
12741.0,498,2,406.07,1,2,2,5,Low Value - Likely Churn
12742.0,569,2,1185.02,1,2,4,7,Mid Value - Stable
12743.0,103,2,546.43,3,2,2,7,Mid Value - Stable
12744.0,21,14,13158.16,4,5,5,14,High Value - Loyal
12745.0,456,3,925.41,1,3,3,7,Mid Value - Stable
12746.0,497,3,230.85000000000002,1,3,1,5,Low Value - Likely Churn
12747.0,36,30,8413.36,4,5,5,14,High Value - Loyal
12748.0,0,316,40997.72,5,5,5,15,High Value - Loyal
12749.0,83,14,4992.84,3,5,5,13,High Value - Loyal
12750.0,98,1,275.88,3,1,2,6,Low Value - Likely Churn
12751.0,414,1,268.27,1,1,2,4,Low Value - Likely Churn
12752.0,50,1,4366.78,4,1,5,10,New / Low Engagement
12753.0,78,9,16332.46,3,4,5,12,Mid Value - Stable
12754.0,205,5,2949.12,3,4,5,12,Mid Value - Stable
12755.0,219,22,6406.349999999999,2,5,5,12,High Value - At Risk
12756.0,56,1,112.07999999999998,4,1,1,6,New / Low Engagement
12757.0,20,16,3532.2,5,5,5,15,High Value - Loyal
12758.0,86,8,9779.0,3,4,5,12,Mid Value - Stable
12759.0,21,8,5020.74,4,4,5,13,High Value - Loyal
12760.0,425,1,347.8,1,1,2,4,Low Value - Likely Churn
12761.0,427,2,782.95,1,2,3,6,Low Value - Likely Churn
12763.0,107,2,814.16,3,2,3,8,Mid Value - Stable
12764.0,286,1,1693.88,2,1,4,7,Mid Value - Stable
12765.0,441,6,1404.58,1,4,4,9,High Value - At Risk
12766.0,27,10,9308.0,4,5,5,14,High Value - Loyal
12767.0,345,1,949.82,2,1,3,6,Low Value - Likely Churn
12768.0,401,2,3.552713678800501e-15,1,2,1,4,Low Value - Likely Churn
12769.0,208,1,1143.6,3,1,4,8,Mid Value - Stable
12770.0,180,7,2975.95,3,4,5,12,Mid Value - Stable
12771.0,434,2,262.5,1,2,2,5,Low Value - Likely Churn
12772.0,29,1,892.47,4,1,3,8,New / Low Engagement
12773.0,533,2,1.7763568394002505e-15,1,2,1,4,Low Value - Likely Churn
12774.0,505,1,98.7,1,1,1,3,Low Value - Likely Churn
12775.0,159,7,1429.96,3,4,4,11,Mid Value - Stable
12776.0,637,1,55.5,1,1,1,3,Low Value - Likely Churn
12777.0,427,1,519.45,1,1,2,4,Low Value - Likely Churn
12778.0,32,8,1617.44,4,4,4,12,Mid Value - Stable
12779.0,7,20,6426.12,5,5,5,15,High Value - Loyal
12780.0,568,1,337.4,1,1,2,4,Low Value - Likely Churn
12781.0,33,3,769.23,4,3,3,10,Mid Value - Stable
12782.0,119,13,4273.79,3,5,5,13,High Value - Loyal
12783.0,2,7,1203.29,5,4,4,13,High Value - Loyal
12784.0,498,1,1230.33,1,1,4,6,Low Value - Likely Churn
12785.0,333,4,1085.55,2,3,3,8,Mid Value - Stable
12786.0,579,1,728.5,1,1,3,5,Low Value - Likely Churn
12787.0,61,4,740.18,4,3,3,10,Mid Value - Stable
12788.0,432,4,444.9,1,3,2,6,Low Value - Likely Churn
12789.0,34,3,273.35,4,3,2,9,Mid Value - Stable
12790.0,161,3,563.45,3,3,3,9,Mid Value - Stable
12791.0,343,8,777.75,2,4,3,9,High Value - At Risk
12792.0,226,3,813.88,2,3,3,8,Mid Value - Stable
12793.0,304,3,1017.33,2,3,3,8,Mid Value - Stable
12794.0,22,2,860.41,4,2,3,9,New / Low Engagement
12796.0,597,1,381.0,1,1,2,4,Low Value - Likely Churn
12797.0,329,6,725.46,2,4,3,9,High Value - At Risk
12798.0,13,3,4859.33,5,3,5,13,High Value - Loyal
12799.0,498,1,219.35,1,1,1,3,Low Value - Likely Churn
12800.0,439,3,584.25,1,3,3,7,Mid Value - Stable
